SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2024,Houston,B12,34,30,119.2,85.5,0.9785,49.7,44.0,13.7,24.7,36.9,30.2,29.9,39.0,48.4,43.4,34.7,30.0,63.3,10.6,S16,1.0
2024,Connecticut,BE,34,31,127.1,93.6,0.9712,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,64.6,11.3,Champions,1.0
2024,Purdue,B10,33,29,126.2,94.7,0.9644,56.0,47.7,16.5,14.0,37.4,24.7,42.8,23.0,53.2,48.1,40.8,31.4,67.6,11.0,2ND,1.0
2024,North Carolina,ACC,34,27,116.8,93.2,0.9305,51.3,46.4,14.4,14.9,32.8,23.5,36.8,28.3,50.3,46.0,35.4,31.4,70.4,6.6,S16,1.0
2024,Iowa St.,B12,34,27,113.6,86.5,0.9583,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,67.6,6.9,S16,2.0
2024,Arizona,P12,33,25,121.5,93.6,0.9526,55.0,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,72.0,4.9,S16,2.0
2024,Tennessee,SEC,32,24,115.6,91.2,0.9382,51.5,45.4,14.6,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,69.2,5.8,E8,2.0
2024,Marquette,BE,34,25,118.9,94.6,0.9328,55.1,49.7,14.3,21.1,26.0,30.8,25.6,28.2,56.0,49.2,35.8,33.6,69.1,6.5,S16,2.0
2024,Creighton,BE,32,23,120.6,96.5,0.9289,57.5,46.4,15.3,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,66.9,4.4,S16,3.0
2024,Illinois,B10,34,26,125.3,101.1,0.9221,53.8,48.0,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,69.9,6.0,E8,3.0
2024,Baylor,B12,32,23,122.2,99.9,0.9103,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,65.7,5.1,R32,3.0
2024,Kentucky,SEC,32,23,123.0,102.2,0.8934,57.4,49.5,14.2,16.0,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,72.5,2.9,R64,3.0
2024,Auburn,SEC,34,27,120.7,92.1,0.9573,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,69.8,5.5,R64,4.0
2024,Duke,ACC,32,24,120.8,96.8,0.9272,55.2,49.0,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,E8,4.0
2024,Alabama,SEC,32,21,125.2,102.1,0.9126,56.3,49.9,16.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,F4,4.0
2024,Kansas,B12,31,22,113.5,92.7,0.9111,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,68.9,4.3,R32,4.0
2024,Saint Mary's,WCC,32,26,115.8,93.7,0.9198,53.1,45.1,16.0,16.7,39.0,22.4,28.3,32.2,53.0,43.6,35.5,32.4,62.1,1.4,R64,5.0
2024,Gonzaga,WCC,31,25,121.3,98.6,0.9151,56.7,47.3,14.0,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34.0,69.1,2.5,S16,5.0
2024,Wisconsin,B10,35,22,119.8,98.8,0.9018,52.4,52.2,14.6,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,65.0,3.3,R64,5.0
2024,San Diego St.,MWC,32,24,111.5,93.9,0.8789,49.8,47.2,16.0,18.0,32.7,28.0,37.5,33.3,51.6,48.3,31.3,30.5,66.1,2.6,S16,5.0
2024,BYU,B12,33,23,120.6,99.0,0.9067,55.1,48.0,15.2,16.0,32.8,24.7,25.3,32.1,58.0,48.2,34.8,31.8,69.0,2.9,R64,6.0
2024,Texas Tech,B12,33,23,117.5,98.4,0.8846,52.8,49.1,16.5,17.0,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,66.4,3.4,R64,6.0
2024,Clemson,ACC,32,21,116.7,99.3,0.8647,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,66.2,0.9,E8,6.0
2024,South Carolina,SEC,33,26,114.4,98.9,0.842,50.8,48.0,15.5,14.9,33.1,28.0,31.8,30.8,51.1,46.8,33.5,33.6,63.0,4.7,R64,6.0
2024,Texas,B12,32,20,119.0,98.3,0.9006,53.7,49.0,16.6,18.6,30.5,30.0,30.4,35.0,53.4,47.4,36.1,34.8,67.2,1.2,R32,7.0
2024,Florida,SEC,35,24,119.7,99.3,0.8951,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49.0,34.2,32.2,71.6,3.0,R64,7.0
2024,Washington St.,P12,33,24,112.8,96.6,0.8556,52.1,47.3,16.1,15.9,32.9,24.9,31.7,32.7,52.6,46.9,34.0,32.0,64.9,1.9,R32,7.0
2024,Dayton,A10,31,24,117.4,100.7,0.8547,56.6,47.9,15.8,15.7,26.9,29.0,37.2,21.8,53.7,48.2,40.2,31.7,64.0,2.6,R32,7.0
