SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8,,
2020,Baylor,B12,30,26,114.5,88.4,0.9513,49.4,45.2,17.8,22.7,35.8,29.8,30.8,30.8,47.5,44.4,35.1,31.1,66.2,8.5,,
2020,Gonzaga,WCC,33,31,121.3,94.3,0.9472,57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,57.4,47.4,38.6,32.0,72.0,7.7,,
2020,Dayton,A10,31,29,119.5,93.4,0.9445,59.7,46.6,18.0,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33.0,67.5,6.8,,
2020,Michigan St.,B10,31,22,114.8,91.3,0.9326,52.6,43.3,18.1,15.8,32.8,26.0,30.8,29.3,52.9,43.4,34.8,28.7,69.3,5.2,,
2020,Duke,ACC,31,25,115.3,91.9,0.931,52.6,45.7,17.8,20.2,34.8,28.0,35.6,30.9,52.5,46.0,35.2,29.9,71.7,5.1,,
2020,Creighton,BE,30,24,120.6,96.4,0.9289,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53.0,48.9,38.7,31.8,68.3,6.1,,
2020,Ohio St.,B10,31,21,114.6,92.6,0.92,52.3,46.2,19.1,18.3,31.1,25.5,36.7,29.3,49.7,44.2,37.3,32.7,66.2,3.8,,
2020,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18.0,17.4,32.0,25.0,32.2,29.0,50.1,45.1,37.6,30.1,66.9,4.3,,
2020,San Diego St.,MWC,31,30,113.8,92.8,0.9119,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,53.0,45.3,37.9,30.1,64.7,6.7,,
